,state,2017
0,Alabama,7234
1,Alaska,5827
2,Arizona,55495
3,Arkansas,3788
4,California,919579
5,Colorado,92878
6,Connecticut,83460
7,Delaware,9598
8,District of Columbia,122643
9,Florida,162401
10,Georgia,102295
11,Hawaii,43263
12,Idaho,4859
13,Illinois,588347
14,Indiana,29104
15,Iowa,13667
16,Kansas,6101
17,Kentucky,20508
18,Louisiana,21422
19,Maine,3819
20,Maryland,259404
21,Massachusetts,366993
22,Michigan,58769
23,Minnesota,106880
24,Mississippi,3718
25,Missouri,36897
26,Montana,3997
27,Nebraska,6867
28,Nevada,43262
29,New Hampshire,5162
30,New Jersey,521066
31,New Mexico,9231
32,New York,2644978
33,North Carolina,46327
34,North Dakota,2137
35,Ohio,79760
36,Oklahoma,5737
37,Oregon,87100
38,Pennsylvania,323271
39,Rhode Island,11452
40,South Carolina,11198
41,South Dakota,2956
42,Tennessee,19744
43,Texas,176746
44,Utah,34465
45,Vermont,4782
46,Virginia,175257
47,Washington,233203
48,West Virginia,6552
49,Wisconsin,51446
50,Wyoming,1651
51,Puerto Rico,17286
