,state,2010
0,Alabama,195292
1,Alaska,45376
2,Arizona,305162
3,Arkansas,138346
4,California,1831538
5,Colorado,243835
6,Connecticut,135921
7,Delaware,38268
8,District of Columbia,17630
9,Florida,757260
10,Georgia,424278
11,Hawaii,90538
12,Idaho,66471
13,Illinois,502443
14,Indiana,242733
15,Iowa,146859
16,Kansas,124333
17,Kentucky,186526
18,Louisiana,206556
19,Maine,55677
20,Maryland,304131
21,Massachusetts,246522
22,Michigan,347458
23,Minnesota,226272
24,Mississippi,115956
25,Missouri,250846
26,Montana,44652
27,Nebraska,90211
28,Nevada,130007
29,New Hampshire,51501
30,New Jersey,340504
31,New Mexico,89304
32,New York,602314
33,North Carolina,414493
34,North Dakota,31103
35,Ohio,392980
36,Oklahoma,184582
37,Oregon,166549
38,Pennsylvania,504848
39,Rhode Island,39358
40,South Carolina,181845
41,South Dakota,40386
42,Tennessee,267833
43,Texas,1236597
44,Utah,135917
45,Vermont,29787
46,Virginia,383909
47,Washington,319376
48,West Virginia,68388
49,Wisconsin,242836
50,Wyoming,30849
51,Puerto Rico,110089
