,state,2009
0,Alabama,1654802
1,Alaska,228145
2,Arizona,2087564
3,Arkansas,991390
4,California,11782282
5,Colorado,1832678
6,Connecticut,1346808
7,Delaware,332469
8,District of Columbia,106115
9,Florida,6255178
10,Georgia,3364553
11,Hawaii,432324
12,Idaho,523240
13,Illinois,4347350
14,Indiana,2386963
15,Iowa,1204228
16,Kansas,1111028
17,Kentucky,1487291
18,Louisiana,1604366
19,Maine,498059
20,Maryland,2084261
21,Massachusetts,2323118
22,Michigan,3416716
23,Minnesota,2072837
24,Mississippi,991127
25,Missouri,2228743
26,Montana,344607
27,Nebraska,739945
28,Nevada,952931
29,New Hampshire,558066
30,New Jersey,2926129
31,New Mexico,672002
32,New York,4808215
33,North Carolina,3355251
34,North Dakota,270949
35,Ohio,4289333
36,Oklahoma,1348820
37,Oregon,1228105
38,Pennsylvania,4416654
39,Rhode Island,402807
40,South Carolina,1608998
41,South Dakota,319424
42,Tennessee,2269814
43,Texas,8812987
44,Utah,957709
45,Vermont,236756
46,Virginia,2962941
47,Washington,2229703
48,West Virginia,608302
49,Wisconsin,2247979
50,Wyoming,213983
51,Puerto Rico,901252
