,state,2009
0,Alabama,1959883
1,Alaska,334556
2,Arizona,2752205
3,Arkansas,1222789
4,California,16145601
5,Colorado,2465357
6,Connecticut,1708011
7,Delaware,412892
8,District of Columbia,291083
9,Florida,7892572
10,Georgia,4289657
11,Hawaii,638154
12,Idaho,674773
13,Illinois,5918382
14,Indiana,2875125
15,Iowa,1525678
16,Kansas,1368759
17,Kentucky,1825471
18,Louisiana,1961548
19,Maine,636449
20,Maryland,2840465
21,Massachusetts,3231739
22,Michigan,4136395
23,Minnesota,2657698
24,Mississippi,1186525
25,Missouri,2751847
26,Montana,457865
27,Nebraska,920601
28,Nevada,1202588
29,New Hampshire,678576
30,New Jersey,4098665
31,New Mexico,862556
32,New York,8906053
33,North Carolina,4152303
34,North Dakota,345194
35,Ohio,5165708
36,Oklahoma,1645352
37,Oregon,1705433
38,Pennsylvania,5749703
39,Rhode Island,501342
40,South Carolina,1961234
41,South Dakota,412997
42,Tennessee,2720140
43,Texas,11074127
44,Utah,1258095
45,Vermont,316524
46,Virginia,3822714
47,Washington,3093139
48,West Virginia,744918
49,Wisconsin,2815316
50,Wyoming,277047
51,Puerto Rico,1156827
