,state,2011
0,Alabama,1657419
1,Alaska,237947
2,Arizona,2009959
3,Arkansas,1006040
4,California,11754858
5,Colorado,1869617
6,Connecticut,1336932
7,Delaware,336725
8,District of Columbia,101621
9,Florida,6370889
10,Georgia,3297650
11,Hawaii,436336
12,Idaho,521007
13,Illinois,4266676
14,Indiana,2410502
15,Iowa,1218429
16,Kansas,1127767
17,Kentucky,1505309
18,Louisiana,1593560
19,Maine,497407
20,Maryland,2091777
21,Massachusetts,2321683
22,Michigan,3383793
23,Minnesota,2087066
24,Mississippi,974358
25,Missouri,2202040
26,Montana,356849
27,Nebraska,756841
28,Nevada,936303
29,New Hampshire,540862
30,New Jersey,2917047
31,New Mexico,684327
32,New York,4730231
33,North Carolina,3390337
34,North Dakota,292271
35,Ohio,4259642
36,Oklahoma,1363404
37,Oregon,1203016
38,Pennsylvania,4385476
39,Rhode Island,402376
40,South Carolina,1612082
41,South Dakota,319833
42,Tennessee,2299715
43,Texas,9045425
44,Utah,953984
45,Vermont,235912
46,Virginia,3032187
47,Washington,2269757
48,West Virginia,599089
49,Wisconsin,2212588
50,Wyoming,222423
51,Puerto Rico,849235
