,state,2018
0,Maine,3987
1,North Carolina,47231
2,Georgia,98172
3,Alaska,4382
4,Alabama,6983
5,Vermont,2776
6,Nevada,41741
7,West Virginia,6188
8,Oklahoma,8202
9,Wisconsin,44332
10,Puerto Rico,17251
11,Virginia,191112
12,North Dakota,2939
13,South Carolina,12747
14,Oregon,84316
15,Wyoming,3497
16,California,914825
17,Mississippi,3048
18,Connecticut,79644
19,Texas,176785
20,Maryland,242247
21,Florida,158654
22,Massachusetts,363460
23,District of Columbia,130216
24,Utah,32863
25,New York,2607925
26,New Jersey,514636
27,Ohio,87413
28,Missouri,37161
29,Pennsylvania,353633
30,Michigan,62919
31,Nebraska,5579
32,Idaho,6348
33,New Mexico,9533
34,Hawaii,40582
35,South Dakota,1100
36,Washington,255079
37,Rhode Island,11651
38,Arizona,53718
39,Tennessee,19267
40,Kansas,6819
41,Colorado,81665
42,Indiana,29453
43,Kentucky,19302
44,Louisiana,23178
45,Illinois,582223
46,Iowa,16184
47,New Hampshire,6431
48,Arkansas,5009
49,Delaware,9756
50,Minnesota,103737
51,Montana,3876
