,state,2014
0,Alabama,1724178
1,Alaska,249481
2,Arizona,2178267
3,Arkansas,1031366
4,California,12679198
5,Colorado,2027739
6,Connecticut,1379348
7,Delaware,354350
8,District of Columbia,120528
9,Florida,6886539
10,Georgia,3518258
11,Hawaii,454798
12,Idaho,563872
13,Illinois,4438464
14,Indiana,2520928
15,Iowa,1264875
16,Kansas,1140610
17,Kentucky,1538152
18,Louisiana,1634035
19,Maine,493656
20,Maryland,2187057
21,Massachusetts,2418818
22,Michigan,3585455
23,Minnesota,2184366
24,Mississippi,1023357
25,Missouri,2264508
26,Montana,364793
27,Nebraska,791009
28,Nevada,992409
29,New Hampshire,558119
30,New Jersey,3071511
31,New Mexico,700770
32,New York,4869602
33,North Carolina,3605043
34,North Dakota,315753
35,Ohio,4454047
36,Oklahoma,1419280
37,Oregon,1254586
38,Pennsylvania,4530736
39,Rhode Island,405692
40,South Carolina,1751491
41,South Dakota,344991
42,Tennessee,2389964
43,Texas,9869007
44,Utah,1023289
45,Vermont,242073
46,Virginia,3158348
47,Washington,2394643
48,West Virginia,607615
49,Wisconsin,2320974
50,Wyoming,227488
51,Puerto Rico,813825
