,state,2016
0,Florida,193869
1,Georgia,79337
2,Hawaii,21606
3,Idaho,15834
4,Illinois,114410
5,Indiana,40330
6,Iowa,21321
7,Kansas,20933
8,Kentucky,29441
9,Louisiana,37006
10,Maine,8424
11,Maryland,45104
12,Massachusetts,77394
13,Michigan,54899
14,Minnesota,43089
15,Mississippi,20335
16,Missouri,33144
17,Montana,10726
18,Nebraska,14625
19,Nevada,23944
20,New Hampshire,9997
21,New Jersey,75903
22,New Mexico,15947
23,New York,181866
24,North Carolina,62022
25,North Dakota,5264
26,Ohio,65536
27,Oklahoma,24987
28,Oregon,63263
29,Pennsylvania,86769
30,Rhode Island,5462
31,South Carolina,31727
32,South Dakota,5953
33,Tennessee,35185
34,Texas,196199
35,Utah,23624
36,Vermont,6374
37,Virginia,75866
38,Washington,72502
39,West Virginia,6859
40,Wisconsin,46678
41,Wyoming,3765
42,Puerto Rico,18206
43,Alabama,21175
44,Alaska,17273
45,Arizona,74706
46,Arkansas,14882
47,California,456964
48,Colorado,60689
49,Connecticut,21293
50,Delaware,4395
51,District of Columbia,22478
