,state,2014
0,Alabama,22851
1,Alaska,19161
2,Arizona,81828
3,Arkansas,14661
4,California,449378
5,Colorado,61250
6,Connecticut,21704
7,Delaware,5653
8,District of Columbia,17684
9,Florida,197019
10,Georgia,73100
11,Hawaii,26198
12,Idaho,15188
13,Illinois,103575
14,Indiana,42452
15,Iowa,22180
16,Kansas,19149
17,Kentucky,26618
18,Louisiana,40649
19,Maine,11306
20,Maryland,39297
21,Massachusetts,64035
22,Michigan,58320
23,Minnesota,50447
24,Mississippi,20645
25,Missouri,36646
26,Montana,10066
27,Nebraska,11226
28,Nevada,31480
29,New Hampshire,9887
30,New Jersey,86421
31,New Mexico,18252
32,New York,168773
33,North Carolina,57192
34,North Dakota,3802
35,Ohio,57967
36,Oklahoma,24983
37,Oregon,66931
38,Pennsylvania,80673
39,Rhode Island,7576
40,South Carolina,35038
41,South Dakota,5971
42,Tennessee,37437
43,Texas,221952
44,Utah,23550
45,Vermont,3884
46,Virginia,67253
47,Washington,73155
48,West Virginia,8301
49,Wisconsin,50479
50,Wyoming,6474
51,Puerto Rico,21434
