,state,2015
0,Alabama,180752
1,Alaska,45738
2,Arizona,307864
3,Arkansas,134929
4,California,1770281
5,Colorado,230500
6,Connecticut,138902
7,Delaware,34752
8,District of Columbia,18456
9,Florida,794711
10,Georgia,453091
11,Hawaii,95464
12,Idaho,79038
13,Illinois,482647
14,Indiana,264220
15,Iowa,135819
16,Kansas,125499
17,Kentucky,184672
18,Louisiana,181268
19,Maine,55341
20,Maryland,265758
21,Massachusetts,256929
22,Michigan,383772
23,Minnesota,238071
24,Mississippi,109591
25,Missouri,248466
26,Montana,50328
27,Nebraska,87263
28,Nevada,138448
29,New Hampshire,52340
30,New Jersey,320289
31,New Mexico,79397
32,New York,611083
33,North Carolina,426232
34,North Dakota,34772
35,Ohio,418445
36,Oklahoma,177721
37,Oregon,188357
38,Pennsylvania,511031
39,Rhode Island,49275
40,South Carolina,199079
41,South Dakota,36117
42,Tennessee,264633
43,Texas,1276953
44,Utah,156502
45,Vermont,26263
46,Virginia,374422
47,Washington,330657
48,West Virginia,62754
49,Wisconsin,229662
50,Wyoming,28959
51,Puerto Rico,85555
