,state,2009
0,Alabama,202114
1,Alaska,44499
2,Arizona,325472
3,Arkansas,141904
4,California,1873082
5,Colorado,248258
6,Connecticut,143891
7,Delaware,36947
8,District of Columbia,19375
9,Florida,819220
10,Georgia,469741
11,Hawaii,89533
12,Idaho,73978
13,Illinois,529811
14,Indiana,265322
15,Iowa,148870
16,Kansas,129613
17,Kentucky,193729
18,Louisiana,207837
19,Maine,64290
20,Maryland,284342
21,Massachusetts,265382
22,Michigan,370831
23,Minnesota,244619
24,Mississippi,127286
25,Missouri,274709
26,Montana,44785
27,Nebraska,94107
28,Nevada,123783
29,New Hampshire,54215
30,New Jersey,357876
31,New Mexico,99101
32,New York,658207
33,North Carolina,445097
34,North Dakota,36666
35,Ohio,433323
36,Oklahoma,180451
37,Oregon,176976
38,Pennsylvania,515208
39,Rhode Island,45022
40,South Carolina,197051
41,South Dakota,42132
42,Tennessee,267631
43,Texas,1259544
44,Utah,146878
45,Vermont,31629
46,Virginia,396824
47,Washington,350836
48,West Virginia,76548
49,Wisconsin,258073
50,Wyoming,30076
51,Puerto Rico,119264
