,state,2009
0,Alabama,20408
1,Alaska,15153
2,Arizona,74524
3,Arkansas,19092
4,California,371425
5,Colorado,63362
6,Connecticut,19800
7,Delaware,4838
8,District of Columbia,10178
9,Florida,176184
10,Georgia,71350
11,Hawaii,20416
12,Idaho,18718
13,Illinois,98102
14,Indiana,34991
15,Iowa,18238
16,Kansas,24186
17,Kentucky,21009
18,Louisiana,36933
19,Maine,9581
20,Maryland,31442
21,Massachusetts,51401
22,Michigan,48949
23,Minnesota,40833
24,Mississippi,12778
25,Missouri,34593
26,Montana,12784
27,Nebraska,10022
28,Nevada,22185
29,New Hampshire,7682
30,New Jersey,79924
31,New Mexico,15898
32,New York,150159
33,North Carolina,46317
34,North Dakota,4336
35,Ohio,49005
36,Oklahoma,22492
37,Oregon,55973
38,Pennsylvania,74687
39,Rhode Island,5770
40,South Carolina,29999
41,South Dakota,7049
42,Tennessee,29687
43,Texas,215128
44,Utah,25309
45,Vermont,5246
46,Virginia,51598
47,Washington,64270
48,West Virginia,7518
49,Wisconsin,46017
50,Wyoming,5273
51,Puerto Rico,28270
