,state,2012
0,California,1821450
1,Colorado,245831
2,Connecticut,142303
3,Delaware,34036
4,District of Columbia,18396
5,Florida,795280
6,Georgia,439477
7,Hawaii,102542
8,Idaho,70227
9,Illinois,526666
10,Indiana,276458
11,Iowa,138408
12,Kansas,135242
13,Kentucky,180512
14,Louisiana,194194
15,Maine,69730
16,Maryland,286359
17,Massachusetts,255640
18,Michigan,377209
19,Minnesota,244969
20,Mississippi,125832
21,Missouri,265496
22,Montana,50885
23,Nebraska,94886
24,Nevada,132358
25,New Hampshire,48989
26,New Jersey,340842
27,New Mexico,97996
28,New York,612325
29,North Carolina,449216
30,North Dakota,36676
31,Ohio,422150
32,Oklahoma,174714
33,Oregon,177288
34,Pennsylvania,519724
35,Rhode Island,45042
36,South Carolina,186295
37,South Dakota,38511
38,Tennessee,262229
39,Texas,1280750
40,Utah,158411
41,Vermont,32522
42,Virginia,393282
43,Washington,340987
44,West Virginia,77490
45,Wisconsin,250241
46,Wyoming,33043
47,Puerto Rico,102432
48,Alabama,186834
49,Alaska,47473
50,Arizona,300566
51,Arkansas,137885
