,state,2019
0,Mississippi,13518
1,Missouri,60586
2,Montana,21487
3,Nebraska,27561
4,Nevada,23281
5,New Hampshire,17478
6,New Jersey,118774
7,New Mexico,18115
8,New York,584422
9,North Carolina,87959
10,North Dakota,12830
11,Ohio,127235
12,Oklahoma,26055
13,Oregon,76020
14,Pennsylvania,225258
15,Rhode Island,17593
16,South Carolina,48313
17,South Dakota,14428
18,Tennessee,44697
19,Texas,211383
20,Vermont,17220
21,Utah,32418
22,Virginia,99457
23,Washington,129741
24,West Virginia,21207
25,Wisconsin,87615
26,Wyoming,8253
27,Puerto Rico,28614
28,Illinois,187381
29,Georgia,74008
30,Idaho,22567
31,Hawaii,32002
32,Indiana,73084
33,Iowa,50497
34,Kansas,32070
35,Kentucky,44748
36,Louisiana,43025
37,Maine,25434
38,Maryland,67886
39,Massachusetts,181556
40,Michigan,101024
41,Minnesota,77562
42,Connecticut,50418
43,Florida,154954
44,Alabama,26208
45,Alaska,24732
46,Arizona,62452
47,Arkansas,25361
48,California,479751
49,Colorado,81116
50,Delaware,10504
51,District of Columbia,51806
