,state,2012
0,California,16432358
1,Colorado,2538793
2,Connecticut,1728325
3,Delaware,421883
4,District of Columbia,326143
5,Florida,8161313
6,Georgia,4213128
7,Hawaii,670355
8,Idaho,697765
9,Illinois,5927604
10,Indiana,2954205
11,Iowa,1530289
12,Kansas,1388601
13,Kentucky,1845659
14,Louisiana,1965689
15,Maine,631826
16,Maryland,2909794
17,Massachusetts,3273690
18,Michigan,4190898
19,Minnesota,2737424
20,Mississippi,1178427
21,Missouri,2734275
22,Montana,475299
23,Nebraska,946684
24,Nevada,1216345
25,New Hampshire,677232
26,New Jersey,4113910
27,New Mexico,865474
28,New York,8916499
29,North Carolina,4263889
30,North Dakota,376246
31,Ohio,5183203
32,Oklahoma,1682277
33,Oregon,1700679
34,Pennsylvania,5810858
35,Rhode Island,503788
36,South Carolina,1999706
37,South Dakota,421018
38,Tennessee,2777627
39,Texas,11608001
40,Utah,1296763
41,Vermont,318829
42,Virginia,3967188
43,Washington,3181100
44,West Virginia,733687
45,Wisconsin,2799940
46,Wyoming,285940
47,Puerto Rico,1053975
48,Alabama,1970822
49,Alaska,356567
50,Arizona,2721795
51,Arkansas,1233150
