,state,2015
0,Alabama,1719972
1,Alaska,246577
2,Arizona,2234511
3,Arkansas,1035546
4,California,13031320
5,Colorado,2095695
6,Connecticut,1391000
7,Delaware,359029
8,District of Columbia,120333
9,Florida,7075864
10,Georgia,3626672
11,Hawaii,475067
12,Idaho,566332
13,Illinois,4485040
14,Indiana,2545272
15,Iowa,1274961
16,Kansas,1168154
17,Kentucky,1559409
18,Louisiana,1667940
19,Maine,506801
20,Maryland,2214171
21,Massachusetts,2421011
22,Michigan,3659421
23,Minnesota,2235350
24,Mississippi,1019853
25,Missouri,2333610
26,Montana,360669
27,Nebraska,798234
28,Nevada,1023007
29,New Hampshire,564577
30,New Jersey,3078089
31,New Mexico,713810
32,New York,4890301
33,North Carolina,3683161
34,North Dakota,331218
35,Ohio,4478867
36,Oklahoma,1435337
37,Oregon,1309993
38,Pennsylvania,4563666
39,Rhode Island,402631
40,South Carolina,1780011
41,South Dakota,347078
42,Tennessee,2478421
43,Texas,10145748
44,Utah,1057690
45,Vermont,246467
46,Virginia,3190412
47,Washington,2441853
48,West Virginia,597203
49,Wisconsin,2365593
50,Wyoming,223552
51,Puerto Rico,821784
