,state,2018
0,Maine,518327
1,North Carolina,3918502
2,Georgia,3881953
3,Alaska,241624
4,Alabama,1784690
5,Vermont,244457
6,Nevada,1116771
7,West Virginia,605626
8,Oklahoma,1466424
9,Wisconsin,2415610
10,Puerto Rico,825434
11,Virginia,3235570
12,North Dakota,327555
13,South Carolina,1876078
14,Oregon,1431100
15,Wyoming,215701
16,California,13681331
17,Mississippi,1040672
18,Connecticut,1396984
19,Texas,10764273
20,Maryland,2279787
21,Florida,7596575
22,Massachusetts,2482764
23,District of Columbia,129349
24,Utah,1146991
25,New York,4940096
26,New Jersey,3115777
27,Ohio,4550274
28,Missouri,2377360
29,Pennsylvania,4637243
30,Michigan,3784352
31,Nebraska,809453
32,Idaho,633347
33,New Mexico,694145
34,Hawaii,476117
35,South Dakota,363161
36,Washington,2597102
37,Rhode Island,422704
38,Arizona,2417249
39,Tennessee,2569224
40,Kansas,1176517
41,Colorado,2220259
42,Indiana,2631206
43,Kentucky,1618938
44,Louisiana,1650009
45,Illinois,4500138
46,Iowa,1295893
47,New Hampshire,576686
48,Arkansas,1075012
49,Delaware,360283
50,Minnesota,2270810
51,Montana,385558
