,state,2015
0,Alabama,63757
1,Alaska,16095
2,Arizona,159681
3,Arkansas,38370
4,California,970039
5,Colorado,194904
6,Connecticut,84879
7,Delaware,20878
8,District of Columbia,21529
9,Florida,493307
10,Georgia,231968
11,Hawaii,32616
12,Idaho,45237
13,Illinois,268434
14,Indiana,109168
15,Iowa,64248
16,Kansas,59428
17,Kentucky,59739
18,Louisiana,56858
19,Maine,36488
20,Maryland,131975
21,Massachusetts,164032
22,Michigan,158838
23,Minnesota,157355
24,Mississippi,25115
25,Missouri,136530
26,Montana,29109
27,Nebraska,38329
28,Nevada,48105
29,New Hampshire,45424
30,New Jersey,175053
31,New Mexico,42276
32,New York,367645
33,North Carolina,227544
34,North Dakota,18103
35,Ohio,200420
36,Oklahoma,65232
37,Oregon,116484
38,Pennsylvania,252050
39,Rhode Island,16928
40,South Carolina,80706
41,South Dakota,24970
42,Tennessee,111397
43,Texas,548949
44,Utah,77377
45,Vermont,19568
46,Virginia,190819
47,Washington,190433
48,West Virginia,23448
49,Wisconsin,119009
50,Wyoming,12136
51,Puerto Rico,21900
