,state,2014
0,Alabama,22961
1,Alaska,28730
2,Arizona,56505
3,Arkansas,22173
4,California,467779
5,Colorado,71357
6,Connecticut,55459
7,Delaware,9709
8,District of Columbia,44965
9,Florida,124298
10,Georgia,68722
11,Hawaii,31941
12,Idaho,15498
13,Illinois,186414
14,Indiana,60227
15,Iowa,52660
16,Kansas,34196
17,Kentucky,45495
18,Louisiana,36868
19,Maine,25193
20,Maryland,69084
21,Massachusetts,165363
22,Michigan,97167
23,Minnesota,81889
24,Mississippi,16865
25,Missouri,57578
26,Montana,22471
27,Nebraska,27652
28,Nevada,26530
29,New Hampshire,17754
30,New Jersey,133018
31,New Mexico,17945
32,New York,576752
33,North Carolina,79919
34,North Dakota,13553
35,Ohio,116550
36,Oklahoma,29971
37,Oregon,70615
38,Pennsylvania,229204
39,Rhode Island,19942
40,South Carolina,46514
41,South Dakota,18453
42,Tennessee,42735
43,Texas,192370
44,Utah,31770
45,Vermont,17236
46,Virginia,91217
47,Washington,115552
48,West Virginia,21210
49,Wisconsin,92497
50,Wyoming,10568
51,Puerto Rico,36960
