,state,2010
0,California,824305
1,Alabama,55782
2,Alaska,18805
3,Arizona,150889
4,Arkansas,36259
5,Colorado,155132
6,Connecticut,67215
7,Delaware,14762
8,District of Columbia,14870
9,Florida,362831
10,Georgia,198889
11,Hawaii,33658
12,Idaho,40257
13,Illinois,249207
14,Kentucky,65922
15,Indiana,93626
16,Iowa,73164
17,Kansas,59886
18,Louisiana,42109
19,Maine,32346
20,Maryland,122635
21,Massachusetts,133432
22,Michigan,143706
23,Minnesota,143802
24,Mississippi,28087
25,Missouri,112679
26,Montana,30112
27,Nebraska,39761
28,Nevada,43778
29,New Hampshire,39180
30,New Jersey,145441
31,New Mexico,41852
32,New York,347072
33,North Carolina,166510
34,North Dakota,18531
35,Ohio,180003
36,Oklahoma,68542
37,Oregon,108132
38,Pennsylvania,212107
39,Rhode Island,15908
40,South Carolina,72437
41,South Dakota,21018
42,Tennessee,90494
43,Texas,453258
44,Utah,53014
45,Vermont,23357
46,Virginia,167035
47,Washington,162951
48,West Virginia,20446
49,Wisconsin,115359
50,Wyoming,13647
51,Puerto Rico,25597
