,state,2012
0,California,393237
1,Colorado,67923
2,Connecticut,22416
3,Delaware,5273
4,District of Columbia,16845
5,Florida,183659
6,Georgia,64415
7,Hawaii,24202
8,Idaho,17778
9,Illinois,101926
10,Indiana,46770
11,Iowa,24972
12,Kansas,17357
13,Kentucky,20947
14,Louisiana,41281
15,Maine,11890
16,Maryland,35924
17,Massachusetts,55554
18,Michigan,54071
19,Minnesota,43798
20,Mississippi,14781
21,Missouri,37017
22,Montana,12219
23,Nebraska,13537
24,Nevada,25351
25,New Hampshire,8421
26,New Jersey,80794
27,New Mexico,15790
28,New York,170979
29,North Carolina,57223
30,North Dakota,3662
31,Ohio,61660
32,Oklahoma,25659
33,Oregon,59069
34,Pennsylvania,78584
35,Rhode Island,9799
36,South Carolina,34382
37,South Dakota,8052
38,Tennessee,34614
39,Texas,202359
40,Utah,29521
41,Vermont,5495
42,Virginia,56471
43,Washington,68435
44,West Virginia,7068
45,Wisconsin,52534
46,Wyoming,6855
47,Puerto Rico,20379
48,Alabama,20522
49,Alaska,21165
50,Arizona,75353
51,Arkansas,12817
