,state,2013
0,Alabama,20806
1,Alaska,31566
2,Arizona,56982
3,Arkansas,20212
4,California,457693
5,Colorado,75639
6,Connecticut,54686
7,Delaware,9098
8,District of Columbia,45003
9,Florida,127509
10,Georgia,64483
11,Hawaii,28327
12,Idaho,21482
13,Illinois,187588
14,Indiana,59191
15,Iowa,57528
16,Kansas,34400
17,Kentucky,42149
18,Louisiana,33986
19,Maine,24616
20,Maryland,69897
21,Massachusetts,158506
22,Michigan,92316
23,Minnesota,81150
24,Mississippi,18071
25,Missouri,55310
26,Montana,25078
27,Nebraska,26175
28,Nevada,27757
29,New Hampshire,21028
30,New Jersey,120053
31,New Mexico,19542
32,New York,574861
33,North Carolina,80677
34,North Dakota,17564
35,Ohio,117442
36,Oklahoma,28664
37,Oregon,70272
38,Pennsylvania,228809
39,Rhode Island,20509
40,South Carolina,51361
41,South Dakota,17790
42,Tennessee,38422
43,Texas,191481
44,Utah,33378
45,Vermont,16530
46,Virginia,99433
47,Washington,111765
48,West Virginia,20464
49,Wisconsin,99926
50,Wyoming,13284
51,Puerto Rico,33122
