,state,2014
0,Alabama,57233
1,Alaska,13915
2,Arizona,161653
3,Arkansas,41375
4,California,930975
5,Colorado,174353
6,Connecticut,81594
7,Delaware,19287
8,District of Columbia,17012
9,Florida,465861
10,Georgia,219216
11,Hawaii,30505
12,Idaho,44352
13,Illinois,264383
14,Indiana,102249
15,Iowa,74447
16,Kansas,55940
17,Kentucky,60300
18,Louisiana,52360
19,Maine,34543
20,Maryland,122798
21,Massachusetts,163528
22,Michigan,159227
23,Minnesota,144022
24,Mississippi,27966
25,Missouri,121894
26,Montana,34875
27,Nebraska,39106
28,Nevada,41115
29,New Hampshire,41260
30,New Jersey,180018
31,New Mexico,41567
32,New York,361168
33,North Carolina,209085
34,North Dakota,20458
35,Ohio,193922
36,Oklahoma,61927
37,Oregon,113068
38,Pennsylvania,243453
39,Rhode Island,19302
40,South Carolina,72724
41,South Dakota,24119
42,Tennessee,105862
43,Texas,494337
44,Utah,73746
45,Vermont,22667
46,Virginia,177271
47,Washington,180826
48,West Virginia,18556
49,Wisconsin,116946
50,Wyoming,14216
51,Puerto Rico,18732
