,state,2015
0,Alabama,6066
1,Alaska,5608
2,Arizona,59686
3,Arkansas,5791
4,California,923600
5,Colorado,80917
6,Connecticut,87516
7,Delaware,12104
8,District of Columbia,128135
9,Florida,195638
10,Georgia,104957
11,Hawaii,49270
12,Idaho,5905
13,Illinois,566654
14,Indiana,33240
15,Iowa,21648
16,Kansas,8983
17,Kentucky,21727
18,Louisiana,29758
19,Maine,4045
20,Maryland,271533
21,Massachusetts,364059
22,Michigan,58866
23,Minnesota,103498
24,Mississippi,3834
25,Missouri,44505
26,Montana,3774
27,Nebraska,7565
28,Nevada,48883
29,New Hampshire,6198
30,New Jersey,497417
31,New Mexico,8091
32,New York,2650013
33,North Carolina,50306
34,North Dakota,1497
35,Ohio,95698
36,Oklahoma,6912
37,Oregon,89224
38,Pennsylvania,338631
39,Rhode Island,14844
40,South Carolina,10895
41,South Dakota,3455
42,Tennessee,24614
43,Texas,189234
44,Utah,37327
45,Vermont,4073
46,Virginia,194457
47,Washington,210545
48,West Virginia,7677
49,Wisconsin,55722
50,Wyoming,6353
51,Puerto Rico,19081
