,state,2018
0,Maine,65824
1,North Carolina,452538
2,Georgia,460590
3,Alaska,43608
4,Alabama,162698
5,Vermont,29202
6,Nevada,149253
7,West Virginia,62368
8,Oklahoma,169332
9,Wisconsin,222219
10,Puerto Rico,77865
11,Virginia,384725
12,North Dakota,34811
13,South Carolina,217339
14,Oregon,189107
15,Wyoming,28889
16,California,1854318
17,Mississippi,108124
18,Connecticut,146099
19,Texas,1301251
20,Maryland,270693
21,Florida,899569
22,Massachusetts,264744
23,District of Columbia,19352
24,Utah,168587
25,New York,586563
26,New Jersey,360215
27,Ohio,454572
28,Missouri,243718
29,Pennsylvania,518838
30,Michigan,412152
31,Nebraska,85937
32,Idaho,71019
33,New Mexico,97608
34,Hawaii,104144
35,South Dakota,39397
36,Washington,357163
37,Rhode Island,42327
38,Arizona,348622
39,Tennessee,277378
40,Kansas,133441
41,Colorado,253437
42,Indiana,282715
43,Kentucky,183996
44,Louisiana,179514
45,Illinois,510939
46,Iowa,129016
47,New Hampshire,53106
48,Arkansas,135838
49,Delaware,41270
50,Minnesota,245484
51,Montana,48660
