,state,2016
0,Florida,547673
1,Georgia,264150
2,Hawaii,34947
3,Idaho,44115
4,Illinois,302177
5,Indiana,118057
6,Iowa,74833
7,Kansas,63638
8,Kentucky,71777
9,Louisiana,61808
10,Maine,37251
11,Maryland,144409
12,Massachusetts,180089
13,Michigan,180561
14,Minnesota,167431
15,Mississippi,27290
16,Missouri,148097
17,Montana,31581
18,Nebraska,43025
19,Nevada,57210
20,New Hampshire,44098
21,New Jersey,190604
22,New Mexico,44691
23,New York,400213
24,North Carolina,249964
25,North Dakota,20795
26,Ohio,234340
27,Oklahoma,74061
28,Oregon,125646
29,Pennsylvania,289740
30,Rhode Island,21754
31,South Carolina,90439
32,South Dakota,23777
33,Tennessee,139052
34,Texas,618147
35,Utah,87136
36,Vermont,22197
37,Virginia,208849
38,Washington,203095
39,West Virginia,28911
40,Wisconsin,137512
41,Wyoming,16478
42,Puerto Rico,24684
43,Alabama,68581
44,Alaska,18772
45,Arizona,189882
46,Arkansas,40509
47,California,1044550
48,Colorado,223327
49,Connecticut,93131
50,Delaware,19662
51,District of Columbia,21761
