,state,2009
0,Alabama,25810
1,Alaska,26751
2,Arizona,65624
3,Arkansas,22866
4,California,447411
5,Colorado,73437
6,Connecticut,50342
7,Delaware,9713
8,District of Columbia,32328
9,Florida,118132
10,Georgia,70992
11,Hawaii,29016
12,Idaho,17568
13,Illinois,189926
14,Indiana,62950
15,Iowa,61390
16,Kansas,38761
17,Kentucky,43922
18,Louisiana,39371
19,Maine,26414
20,Maryland,74434
21,Massachusetts,151189
22,Michigan,98309
23,Minnesota,77059
24,Mississippi,19684
25,Missouri,54127
26,Montana,24724
27,Nebraska,30642
28,Nevada,25187
29,New Hampshire,19158
30,New Jersey,137504
31,New Mexico,20989
32,New York,574322
33,North Carolina,82681
34,North Dakota,12419
35,Ohio,116395
36,Oklahoma,30444
37,Oregon,65863
38,Pennsylvania,227700
39,Rhode Island,15797
40,South Carolina,36672
41,South Dakota,17914
42,Tennessee,38131
43,Texas,192756
44,Utah,36985
45,Vermont,17214
46,Virginia,85818
47,Washington,103950
48,West Virginia,20652
49,Wisconsin,94869
50,Wyoming,9347
51,Puerto Rico,46251
