,state,2019
0,Mississippi,21765
1,Missouri,36407
2,Montana,11842
3,Nebraska,10459
4,Nevada,41940
5,New Hampshire,8625
6,New Jersey,88520
7,New Mexico,16242
8,New York,212662
9,North Carolina,72844
10,North Dakota,6042
11,Ohio,69189
12,Oklahoma,28006
13,Oregon,65628
14,Pennsylvania,100033
15,Rhode Island,7316
16,South Carolina,36571
17,South Dakota,7199
18,Tennessee,45496
19,Texas,215544
20,Vermont,4130
21,Utah,24923
22,Virginia,83518
23,Washington,75506
24,West Virginia,9950
25,Wisconsin,44464
26,Wyoming,4837
27,Puerto Rico,16228
28,Illinois,116303
29,Georgia,96979
30,Idaho,13875
31,Hawaii,19498
32,Indiana,44414
33,Iowa,18691
34,Kansas,14433
35,Kentucky,28600
36,Louisiana,37751
37,Maine,8400
38,Maryland,51149
39,Massachusetts,81179
40,Michigan,59201
41,Minnesota,49535
42,Connecticut,21943
43,Florida,253189
44,Alabama,23984
45,Alaska,19865
46,Arizona,83540
47,Arkansas,13591
48,California,482036
49,Colorado,66817
50,Delaware,4695
51,District of Columbia,25398
