,state,2016
0,Florida,187114
1,Georgia,100028
2,Hawaii,47808
3,Idaho,4282
4,Illinois,573372
5,Indiana,31443
6,Iowa,17064
7,Kansas,7338
8,Kentucky,20925
9,Louisiana,25489
10,Maine,4232
11,Maryland,258950
12,Massachusetts,354611
13,Michigan,64250
14,Minnesota,103966
15,Mississippi,3700
16,Missouri,41004
17,Montana,3352
18,Nebraska,5806
19,Nevada,46044
20,New Hampshire,6346
21,New Jersey,509502
22,New Mexico,12460
23,New York,2636851
24,North Carolina,47899
25,North Dakota,2140
26,Ohio,86890
27,Oklahoma,8662
28,Oregon,82729
29,Pennsylvania,332072
30,Rhode Island,12473
31,South Carolina,12255
32,South Dakota,2108
33,Tennessee,20698
34,Texas,183385
35,Utah,39200
36,Vermont,4914
37,Virginia,171640
38,Washington,220132
39,West Virginia,7880
40,Wisconsin,50825
41,Wyoming,4322
42,Puerto Rico,18948
43,Alabama,6334
44,Alaska,4381
45,Arizona,55372
46,Arkansas,4247
47,California,910353
48,Colorado,81991
49,Connecticut,88162
50,Delaware,11758
51,District of Columbia,130451
