,state,2011
0,Alabama,21156
1,Alaska,26407
2,Arizona,58221
3,Arkansas,22777
4,California,445440
5,Colorado,72487
6,Connecticut,51370
7,Delaware,8758
8,District of Columbia,36200
9,Florida,121801
10,Georgia,68417
11,Hawaii,31906
12,Idaho,23284
13,Illinois,182021
14,Indiana,59297
15,Iowa,53020
16,Kansas,32181
17,Kentucky,38405
18,Louisiana,41820
19,Maine,23663
20,Maryland,65220
21,Massachusetts,148790
22,Michigan,89744
23,Minnesota,73367
24,Mississippi,19646
25,Missouri,55127
26,Montana,22377
27,Nebraska,25907
28,Nevada,24503
29,New Hampshire,18854
30,New Jersey,126204
31,New Mexico,21081
32,New York,575553
33,North Carolina,71929
34,North Dakota,14477
35,Ohio,117776
36,Oklahoma,30992
37,Oregon,64600
38,Pennsylvania,223525
39,Rhode Island,16084
40,South Carolina,45156
41,South Dakota,17498
42,Tennessee,38271
43,Texas,191128
44,Utah,29964
45,Vermont,19991
46,Virginia,90716
47,Washington,106793
48,West Virginia,20060
49,Wisconsin,94268
50,Wyoming,9737
51,Puerto Rico,40128
