,state,2009
0,Alabama,48426
1,Alaska,15398
2,Arizona,142062
3,Arkansas,42408
4,California,832146
5,Colorado,166093
6,Connecticut,69894
7,Delaware,13434
8,District of Columbia,15041
9,Florida,375151
10,Georgia,207333
11,Hawaii,28673
12,Idaho,34553
13,Illinois,232678
14,Indiana,94697
15,Iowa,75389
16,Kansas,59047
17,Kentucky,57071
18,Louisiana,48479
19,Maine,33810
20,Maryland,117152
21,Massachusetts,136360
22,Michigan,147582
23,Minnesota,131251
24,Mississippi,30737
25,Missouri,118973
26,Montana,27120
27,Nebraska,40074
28,Nevada,40832
29,New Hampshire,35560
30,New Jersey,162170
31,New Mexico,45097
32,New York,343814
33,North Carolina,180743
34,North Dakota,19728
35,Ohio,185761
36,Oklahoma,56214
37,Oregon,108863
38,Pennsylvania,211544
39,Rhode Island,18045
40,South Carolina,76128
41,South Dakota,24581
42,Tennessee,91933
43,Texas,417500
44,Utah,60948
45,Vermont,22920
46,Virginia,157174
47,Washington,162613
48,West Virginia,25502
49,Wisconsin,115001
50,Wyoming,14467
51,Puerto Rico,25986
