,state,2013
0,Alabama,50055
1,Alaska,15371
2,Arizona,150347
3,Arkansas,34589
4,California,877833
5,Colorado,177620
6,Connecticut,75129
7,Delaware,15846
8,District of Columbia,14474
9,Florida,424181
10,Georgia,208445
11,Hawaii,29619
12,Idaho,38378
13,Illinois,250948
14,Indiana,98636
15,Iowa,64401
16,Kansas,55406
17,Kentucky,59761
18,Louisiana,47373
19,Maine,35944
20,Maryland,124944
21,Massachusetts,147491
22,Michigan,164515
23,Minnesota,135427
24,Mississippi,22785
25,Missouri,114179
26,Montana,28478
27,Nebraska,41789
28,Nevada,44378
29,New Hampshire,36720
30,New Jersey,166363
31,New Mexico,37815
32,New York,360333
33,North Carolina,196868
34,North Dakota,16917
35,Ohio,182681
36,Oklahoma,57224
37,Oregon,110334
38,Pennsylvania,227765
39,Rhode Island,15751
40,South Carolina,68335
41,South Dakota,22385
42,Tennessee,100653
43,Texas,491120
44,Utah,67201
45,Vermont,21399
46,Virginia,182279
47,Washington,170293
48,West Virginia,22786
49,Wisconsin,114671
50,Wyoming,10777
51,Puerto Rico,22680
