,state,2009
0,Alabama,8323
1,Alaska,4610
2,Arizona,56959
3,Arkansas,5129
4,California,839255
5,Colorado,81529
6,Connecticut,77276
7,Delaware,15491
8,District of Columbia,108046
9,Florida,148707
10,Georgia,105688
11,Hawaii,38192
12,Idaho,6716
13,Illinois,520515
14,Indiana,30202
15,Iowa,17563
16,Kansas,6124
17,Kentucky,22449
18,Louisiana,24562
19,Maine,4295
20,Maryland,248834
21,Massachusetts,304289
22,Michigan,54008
23,Minnesota,91099
24,Mississippi,4913
25,Missouri,40702
26,Montana,3845
27,Nebraska,5811
28,Nevada,37670
29,New Hampshire,3895
30,New Jersey,435062
31,New Mexico,9469
32,New York,2371336
33,North Carolina,42214
34,North Dakota,1096
35,Ohio,91891
36,Oklahoma,6931
37,Oregon,69653
38,Pennsylvania,303910
39,Rhode Island,13901
40,South Carolina,12386
41,South Dakota,1897
42,Tennessee,22944
43,Texas,176212
44,Utah,30266
45,Vermont,2759
46,Virginia,168359
47,Washington,181767
48,West Virginia,6396
49,Wisconsin,53377
50,Wyoming,3901
51,Puerto Rico,35804
