,state,2011
0,Alabama,20200
1,Alaska,17830
2,Arizona,74987
3,Arkansas,15992
4,California,380879
5,Colorado,61878
6,Connecticut,21542
7,Delaware,4098
8,District of Columbia,13028
9,Florida,171793
10,Georgia,67347
11,Hawaii,21165
12,Idaho,16392
13,Illinois,95611
14,Indiana,39383
15,Iowa,20526
16,Kansas,16386
17,Kentucky,22533
18,Louisiana,41205
19,Maine,9358
20,Maryland,30684
21,Massachusetts,50637
22,Michigan,49881
23,Minnesota,42490
24,Mississippi,14711
25,Missouri,32857
26,Montana,11346
27,Nebraska,11659
28,Nevada,24072
29,New Hampshire,8666
30,New Jersey,68651
31,New Mexico,18381
32,New York,165588
33,North Carolina,59502
34,North Dakota,4935
35,Ohio,59111
36,Oklahoma,23304
37,Oregon,56256
38,Pennsylvania,75115
39,Rhode Island,5445
40,South Carolina,31522
41,South Dakota,6259
42,Tennessee,26374
43,Texas,196031
44,Utah,23867
45,Vermont,5932
46,Virginia,53111
47,Washington,61317
48,West Virginia,4926
49,Wisconsin,43648
50,Wyoming,6570
51,Puerto Rico,19744
