,state,2011
0,Alabama,1953274
1,Alaska,348777
2,Arizona,2650164
3,Arkansas,1215837
4,California,16047067
5,Colorado,2477748
6,Connecticut,1711088
7,Delaware,415063
8,District of Columbia,306801
9,Florida,7991880
10,Georgia,4154468
11,Hawaii,650062
12,Idaho,672900
13,Illinois,5820167
14,Indiana,2885033
15,Iowa,1513058
16,Kansas,1379532
17,Kentucky,1811467
18,Louisiana,1942076
19,Maine,631120
20,Maryland,2855500
21,Massachusetts,3216363
22,Michigan,4094528
23,Minnesota,2684968
24,Mississippi,1163676
25,Missouri,2705455
26,Montana,470715
27,Nebraska,931481
28,Nevada,1191557
29,New Hampshire,671055
30,New Jersey,4060148
31,New Mexico,862821
32,New York,8774815
33,North Carolina,4183841
34,North Dakota,369454
35,Ohio,5114314
36,Oklahoma,1663962
37,Oregon,1674840
38,Pennsylvania,5728043
39,Rhode Island,501044
40,South Carolina,1957707
41,South Dakota,410028
42,Tennessee,2738221
43,Texas,11336474
44,Utah,1246396
45,Vermont,317383
46,Virginia,3883249
47,Washington,3097398
48,West Virginia,729472
49,Wisconsin,2771411
50,Wyoming,286078
51,Puerto Rico,1060138
