,state,2018
0,Maine,11100
1,North Carolina,60290
2,Georgia,88337
3,Alaska,19454
4,Alabama,19833
5,Vermont,6779
6,Nevada,34599
7,West Virginia,9238
8,Oklahoma,24543
9,Wisconsin,45404
10,Puerto Rico,17316
11,Virginia,78956
12,North Dakota,4964
13,South Carolina,34651
14,Oregon,63191
15,Wyoming,6667
16,California,478550
17,Mississippi,16847
18,Connecticut,21662
19,Texas,206238
20,Maryland,50457
21,Florida,226550
22,Massachusetts,78380
23,District of Columbia,25812
24,Utah,24843
25,New York,199155
26,New Jersey,89063
27,Ohio,67076
28,Missouri,35173
29,Pennsylvania,94147
30,Michigan,61616
31,Nebraska,10639
32,Idaho,14767
33,New Mexico,13436
34,Hawaii,22824
35,South Dakota,4045
36,Washington,77178
37,Rhode Island,6115
38,Arizona,85028
39,Tennessee,40055
40,Kansas,18483
41,Colorado,66100
42,Indiana,47568
43,Kentucky,24268
44,Louisiana,38444
45,Illinois,108248
46,Iowa,18849
47,New Hampshire,10449
48,Arkansas,16473
49,Delaware,4939
50,Minnesota,44587
51,Montana,10920
