,state,2016
0,Florida,9122419
1,Georgia,4681817
2,Hawaii,708798
3,Idaho,753204
4,Illinois,6129844
5,Indiana,3107122
6,Iowa,1583507
7,Kansas,1421443
8,Kentucky,1924064
9,Louisiana,1999699
10,Maine,644442
11,Maryland,3044986
12,Massachusetts,3504937
13,Michigan,4492590
14,Minnesota,2868581
15,Mississippi,1215225
16,Missouri,2863373
17,Montana,496311
18,Nebraska,974207
19,Nevada,1356018
20,New Hampshire,705515
21,New Jersey,4328133
22,New Mexico,877959
23,New York,9291557
24,North Carolina,4626006
25,North Dakota,406027
26,Ohio,5435982
27,Oklahoma,1729489
28,Oregon,1899356
29,Pennsylvania,5977351
30,Rhode Island,510504
31,South Carolina,2216858
32,South Dakota,430172
33,Tennessee,2979857
34,Texas,12783032
35,Utah,1435308
36,Vermont,318010
37,Virginia,4150512
38,Washington,3459806
39,West Virginia,725750
40,Wisconsin,2916599
41,Wyoming,284386
42,Puerto Rico,1024738
43,Arkansas,1264585
44,Alabama,2053191
45,Alaska,362804
46,Arizona,2992943
47,California,17926224
48,Colorado,2810263
49,Connecticut,1784936
50,Delaware,439253
51,District of Columbia,362204
