,state,2018
0,Maine,39636
1,North Carolina,292946
2,Georgia,288952
3,Alaska,18738
4,Alabama,71400
5,Vermont,24206
6,Nevada,59394
7,West Virginia,24893
8,Oklahoma,73647
9,Wisconsin,142881
10,Puerto Rico,22390
11,Virginia,236778
12,North Dakota,14897
13,South Carolina,114984
14,Oregon,148880
15,Wyoming,17692
16,California,1111955
17,Mississippi,32097
18,Connecticut,101519
19,Texas,693158
20,Maryland,158983
21,Florida,596696
22,Massachusetts,188548
23,District of Columbia,23199
24,Utah,104279
25,New York,421076
26,New Jersey,205170
27,Ohio,243314
28,Missouri,138342
29,Pennsylvania,315322
30,Michigan,189655
31,Nebraska,50265
32,Idaho,49341
33,New Mexico,44623
34,Hawaii,37933
35,South Dakota,27597
36,Washington,238682
37,Rhode Island,19221
38,Arizona,214693
39,Tennessee,146837
40,Kansas,68255
41,Colorado,253520
42,Indiana,122285
43,Kentucky,79764
44,Louisiana,66932
45,Illinois,318593
46,Iowa,81306
47,New Hampshire,48986
48,Arkansas,48766
49,Delaware,25739
50,Minnesota,177705
51,Montana,37575
