,state,2014
0,Alabama,8276
1,Alaska,4703
2,Arizona,57615
3,Arkansas,4072
4,California,914442
5,Colorado,88355
6,Connecticut,84731
7,Delaware,12635
8,District of Columbia,123707
9,Florida,179401
10,Georgia,93277
11,Hawaii,49272
12,Idaho,5741
13,Illinois,568138
14,Indiana,32567
15,Iowa,16335
16,Kansas,6746
17,Kentucky,21516
18,Louisiana,28810
19,Maine,5210
20,Maryland,267211
21,Massachusetts,332765
22,Michigan,66746
23,Minnesota,102754
24,Mississippi,3180
25,Missouri,43256
26,Montana,5243
27,Nebraska,6375
28,Nevada,54406
29,New Hampshire,5109
30,New Jersey,470791
31,New Mexico,10934
32,New York,2593733
33,North Carolina,50467
34,North Dakota,2588
35,Ohio,90734
36,Oklahoma,7405
37,Oregon,82817
38,Pennsylvania,340499
39,Rhode Island,15219
40,South Carolina,15263
41,South Dakota,2377
42,Tennessee,24552
43,Texas,197216
44,Utah,33991
45,Vermont,3585
46,Virginia,191066
47,Washington,209906
48,West Virginia,5410
49,Wisconsin,54465
50,Wyoming,4783
51,Puerto Rico,27409
