,state,2014
0,Alabama,2007426
1,Alaska,359211
2,Arizona,2831592
3,Arkansas,1249674
4,California,17254926
5,Colorado,2681200
6,Connecticut,1765420
7,Delaware,434766
8,District of Columbia,343062
9,Florida,8636223
10,Georgia,4421064
11,Hawaii,685447
12,Idaho,714398
13,Illinois,6043111
14,Indiana,3031672
15,Iowa,1565334
16,Kansas,1388575
17,Kentucky,1879141
18,Louisiana,1987108
19,Maine,638497
20,Maryland,2960073
21,Massachusetts,3396137
22,Michigan,4356081
23,Minnesota,2811291
24,Mississippi,1196527
25,Missouri,2769496
26,Montana,488297
27,Nebraska,967636
28,Nevada,1279533
29,New Hampshire,685701
30,New Jersey,4281288
31,New Mexico,872554
32,New York,9169233
33,North Carolina,4431005
34,North Dakota,388595
35,Ohio,5330410
36,Oklahoma,1723902
37,Oregon,1779891
38,Pennsylvania,5930486
39,Rhode Island,505224
40,South Carolina,2117951
41,South Dakota,435818
42,Tennessee,2865341
43,Texas,12275962
44,Utah,1345675
45,Vermont,317172
46,Virginia,4063553
47,Washington,3309730
48,West Virginia,732360
49,Wisconsin,2869683
50,Wyoming,296201
51,Puerto Rico,1010328
