,state,2019
0,Mississippi,1047757
1,Missouri,2392658
2,Montana,391949
3,Nebraska,818915
4,Nevada,1124622
5,New Hampshire,581204
6,New Jersey,3137002
7,New Mexico,733010
8,New York,4978442
9,North Carolina,3958871
10,North Dakota,334731
11,Ohio,4604398
12,Oklahoma,1476730
13,Oregon,1438719
14,Pennsylvania,4646438
15,Rhode Island,427425
16,South Carolina,1934730
17,South Dakota,357493
18,Tennessee,2606405
19,Texas,10992403
20,Vermont,246999
21,Utah,1205375
22,Virginia,3288926
23,Washington,2640727
24,West Virginia,599123
25,Wisconsin,2389929
26,Wyoming,214999
27,Puerto Rico,861965
28,Illinois,4493385
29,Georgia,3885708
30,Idaho,657045
31,Hawaii,486335
32,Indiana,2634711
33,Iowa,1274662
34,Kansas,1197587
35,Kentucky,1617407
36,Louisiana,1662337
37,Maine,524381
38,Maryland,2271538
39,Massachusetts,2532334
40,Michigan,3812559
41,Minnesota,2296868
42,Connecticut,1406994
43,Florida,7703087
44,Alabama,1817479
45,Alaska,244725
46,Arizona,2478184
47,Arkansas,1082408
48,California,13767903
49,Colorado,2234342
50,Delaware,374194
51,District of Columbia,127196
