,state,2012
0,California,12059924
1,Colorado,1889150
2,Connecticut,1358109
3,Delaware,343732
4,District of Columbia,111088
5,Florida,6473106
6,Georgia,3353644
7,Hawaii,437154
8,Idaho,542709
9,Illinois,4362024
10,Indiana,2435019
11,Iowa,1222653
12,Kansas,1140807
13,Kentucky,1526467
14,Louisiana,1622316
15,Maine,485919
16,Maryland,2135379
17,Massachusetts,2354944
18,Michigan,3459252
19,Minnesota,2135967
20,Mississippi,984238
21,Missouri,2223496
22,Montana,353661
23,Nebraska,759340
24,Nevada,949121
25,New Hampshire,554808
26,New Jersey,2962771
27,New Mexico,682940
28,New York,4785225
29,North Carolina,3434930
30,North Dakota,299123
31,Ohio,4316260
32,Oklahoma,1384248
33,Oregon,1211498
34,Pennsylvania,4448025
35,Rhode Island,397042
36,South Carolina,1657435
37,South Dakota,331520
38,Tennessee,2322135
39,Texas,9292439
40,Utah,981257
41,Vermont,234408
42,Virginia,3067222
43,Washington,2297264
44,West Virginia,599271
45,Wisconsin,2245736
46,Wyoming,216595
47,Puerto Rico,849901
48,Alabama,1680837
49,Alaska,235946
50,Arizona,2088074
51,Arkansas,1013982
