,state,2011
0,Alabama,51126
1,Alaska,16875
2,Arizona,145782
3,Arkansas,40569
4,California,857352
5,Colorado,154954
6,Connecticut,72435
7,Delaware,15023
8,District of Columbia,14700
9,Florida,368113
10,Georgia,193640
11,Hawaii,29592
12,Idaho,41471
13,Illinois,238350
14,Indiana,90794
15,Iowa,69772
16,Kansas,59431
17,Kentucky,52732
18,Louisiana,41995
19,Maine,34355
20,Maryland,116524
21,Massachusetts,144432
22,Michigan,144120
23,Minnesota,139664
24,Mississippi,26321
25,Missouri,113846
26,Montana,27076
27,Nebraska,43461
28,Nevada,32812
29,New Hampshire,39774
30,New Jersey,155958
31,New Mexico,43413
32,New York,342221
33,North Carolina,197184
34,North Dakota,21193
35,Ohio,174825
36,Oklahoma,57193
37,Oregon,107180
38,Pennsylvania,220246
39,Rhode Island,18530
40,South Carolina,73778
41,South Dakota,22698
42,Tennessee,89596
43,Texas,474951
44,Utah,57879
45,Vermont,19640
46,Virginia,176921
47,Washington,170119
48,West Virginia,22041
49,Wisconsin,119608
50,Wyoming,11864
51,Puerto Rico,26402
