,state,2017
0,Alabama,68872
1,Alaska,15984
2,Arizona,193915
3,Arkansas,47156
4,California,1092887
5,Colorado,244103
6,Connecticut,91174
7,Delaware,22227
8,District of Columbia,27667
9,Florida,574506
10,Georgia,276462
11,Hawaii,30644
12,Idaho,44006
13,Illinois,298212
14,Indiana,133909
15,Iowa,81705
16,Kansas,67715
17,Kentucky,76840
18,Louisiana,66894
19,Maine,38973
20,Maryland,149679
21,Massachusetts,186344
22,Michigan,191015
23,Minnesota,171069
24,Mississippi,27835
25,Missouri,145557
26,Montana,33242
27,Nebraska,46876
28,Nevada,60284
29,New Hampshire,44508
30,New Jersey,201670
31,New Mexico,44128
32,New York,410013
33,North Carolina,291677
34,North Dakota,18763
35,Ohio,232684
36,Oklahoma,74603
37,Oregon,143707
38,Pennsylvania,300183
39,Rhode Island,23654
40,South Carolina,105422
41,South Dakota,25509
42,Tennessee,150118
43,Texas,662408
44,Utah,101269
45,Vermont,22653
46,Virginia,226076
47,Washington,225756
48,West Virginia,23521
49,Wisconsin,145472
50,Wyoming,14773
51,Puerto Rico,21251
