,state,2017
0,Alabama,2041619
1,Alaska,351282
2,Arizona,3086150
3,Arkansas,1281666
4,California,18320629
5,Colorado,2886978
6,Connecticut,1778000
7,Delaware,430780
8,District of Columbia,375380
9,Florida,9355081
10,Georgia,4782581
11,Hawaii,703939
12,Idaho,773999
13,Illinois,6129046
14,Indiana,3126324
15,Iowa,1597499
16,Kansas,1431057
17,Kentucky,1948608
18,Louisiana,2003496
19,Maine,657960
20,Maryland,3061440
21,Massachusetts,3526167
22,Michigan,4560646
23,Minnesota,2908771
24,Mississippi,1214929
25,Missouri,2881692
26,Montana,508613
27,Nebraska,996639
28,Nevada,1402611
29,New Hampshire,712701
30,New Jersey,4409601
31,New Mexico,866572
32,New York,9427680
33,North Carolina,4780350
34,North Dakota,405145
35,Ohio,5476583
36,Oklahoma,1744677
37,Oregon,1953055
38,Pennsylvania,6056160
39,Rhode Island,522214
40,South Carolina,2259936
41,South Dakota,436376
42,Tennessee,3079158
43,Texas,13051002
44,Utah,1486681
45,Vermont,318995
46,Virginia,4195387
47,Washington,3566785
48,West Virginia,711997
49,Wisconsin,2938890
50,Wyoming,279145
51,Puerto Rico,978691
