,state,2019
0,Mississippi,1234933
1,Missouri,2915277
2,Montana,514545
3,Nebraska,1001268
4,Nevada,1461037
5,New Hampshire,723275
6,New Jersey,4421054
7,New Mexico,907965
8,New York,9434909
9,North Carolina,4937952
10,North Dakota,405490
11,Ohio,5589179
12,Oklahoma,1786689
13,Oregon,2011340
14,Pennsylvania,6179069
15,Rhode Island,536938
16,South Carolina,2357976
17,South Dakota,448247
18,Tennessee,3178187
19,Texas,13715977
20,Vermont,324202
21,Utah,1583586
22,Virginia,4291816
23,Washington,3723697
24,West Virginia,730751
25,Wisconsin,2959481
26,Wyoming,279531
27,Puerto Rico,1022871
28,Illinois,6204747
29,Georgia,4958285
30,Idaho,839211
31,Hawaii,702060
32,Indiana,3227470
33,Iowa,1589421
34,Kansas,1448010
35,Kentucky,1973550
36,Louisiana,2024266
37,Maine,668174
38,Maryland,3074208
39,Massachusetts,3637191
40,Michigan,4662155
41,Minnesota,2958990
42,Connecticut,1796247
43,Florida,9857575
44,Alabama,2134022
45,Alaska,349811
46,Arizona,3276420
47,Arkansas,1313514
48,California,18730251
49,Colorado,3011612
50,Delaware,463907
51,District of Columbia,385878
