,state,2010
0,California,15921475
1,Alabama,1951769
2,Alaska,343424
3,Arizona,2621839
4,Arkansas,1225968
5,Colorado,2428102
6,Connecticut,1707618
7,Delaware,404044
8,District of Columbia,296717
9,Florida,7865975
10,Georgia,4118024
11,Hawaii,657295
12,Idaho,669892
13,Illinois,5792659
14,Kentucky,1803377
15,Indiana,2845206
16,Iowa,1513705
17,Kansas,1358914
18,Louisiana,1932178
19,Maine,627588
20,Maryland,2847946
21,Massachusetts,3151546
22,Michigan,4044769
23,Minnesota,2649994
24,Mississippi,1158617
25,Missouri,2706413
26,Montana,459904
27,Nebraska,921395
28,Nevada,1184067
29,New Hampshire,667506
30,New Jersey,4054388
31,New Mexico,857959
32,New York,8723526
33,North Carolina,4119560
34,North Dakota,359823
35,Ohio,5070590
36,Oklahoma,1653574
37,Oregon,1665614
38,Pennsylvania,5723063
39,Rhode Island,479988
40,South Carolina,1948160
41,South Dakota,403672
42,Tennessee,2676457
43,Texas,11145480
44,Utah,1210020
45,Vermont,314463
46,Virginia,3845626
47,Washington,3046571
48,West Virginia,727598
49,Wisconsin,2757982
50,Wyoming,278970
51,Puerto Rico,1077121
