,state,2015
0,Alabama,19046
1,Alaska,20256
2,Arizona,77347
3,Arkansas,16619
4,California,464283
5,Colorado,60491
6,Connecticut,17998
7,Delaware,4765
8,District of Columbia,19532
9,Florida,194433
10,Georgia,69385
11,Hawaii,23450
12,Idaho,14881
13,Illinois,106649
14,Indiana,41721
15,Iowa,24108
16,Kansas,19062
17,Kentucky,26050
18,Louisiana,37412
19,Maine,9264
20,Maryland,40779
21,Massachusetts,70521
22,Michigan,57121
23,Minnesota,49211
24,Mississippi,17812
25,Missouri,35958
26,Montana,12980
27,Nebraska,14929
28,Nevada,27901
29,New Hampshire,8663
30,New Jersey,74301
31,New Mexico,13753
32,New York,174245
33,North Carolina,58323
34,North Dakota,3043
35,Ohio,60779
36,Oklahoma,24222
37,Oregon,65990
38,Pennsylvania,79790
39,Rhode Island,7158
40,South Carolina,30874
41,South Dakota,5800
42,Tennessee,38819
43,Texas,200494
44,Utah,27261
45,Vermont,5368
46,Virginia,69497
47,Washington,73972
48,West Virginia,10854
49,Wisconsin,50045
50,Wyoming,4878
51,Puerto Rico,20288
