,state,2017
0,Alabama,19462
1,Alaska,18622
2,Arizona,73568
3,Arkansas,12943
4,California,455955
5,Colorado,64230
6,Connecticut,22422
7,Delaware,5264
8,District of Columbia,28899
9,Florida,211425
10,Georgia,90702
11,Hawaii,22682
12,Idaho,16798
13,Illinois,111846
14,Indiana,47399
15,Iowa,22834
16,Kansas,19452
17,Kentucky,29764
18,Louisiana,39537
19,Maine,9828
20,Maryland,50387
21,Massachusetts,78485
22,Michigan,53981
23,Minnesota,47720
24,Mississippi,17712
25,Missouri,33113
26,Montana,11902
27,Nebraska,10891
28,Nevada,33230
29,New Hampshire,10225
30,New Jersey,78315
31,New Mexico,15399
32,New York,190867
33,North Carolina,59843
34,North Dakota,4925
35,Ohio,65889
36,Oklahoma,23750
37,Oregon,59977
38,Pennsylvania,89219
39,Rhode Island,4793
40,South Carolina,31011
41,South Dakota,4569
42,Tennessee,35571
43,Texas,209639
44,Utah,25093
45,Vermont,5248
46,Virginia,76117
47,Washington,64272
48,West Virginia,7669
49,Wisconsin,45559
50,Wyoming,6566
51,Puerto Rico,17889
