,state,2017
0,Alabama,23594
1,Alaska,25829
2,Arizona,61420
3,Arkansas,23112
4,California,473375
5,Colorado,77250
6,Connecticut,49471
7,Delaware,9566
8,District of Columbia,47625
9,Florida,132386
10,Georgia,74886
11,Hawaii,38388
12,Idaho,17473
13,Illinois,177158
14,Indiana,65561
15,Iowa,51025
16,Kansas,33316
17,Kentucky,40974
18,Louisiana,33755
19,Maine,26835
20,Maryland,65595
21,Massachusetts,169562
22,Michigan,99437
23,Minnesota,76587
24,Mississippi,16547
25,Missouri,55850
26,Montana,25114
27,Nebraska,27271
28,Nevada,27197
29,New Hampshire,17018
30,New Jersey,130035
31,New Mexico,17589
32,New York,584649
33,North Carolina,82854
34,North Dakota,15495
35,Ohio,114359
36,Oklahoma,33298
37,Oregon,72559
38,Pennsylvania,213841
39,Rhode Island,18555
40,South Carolina,48223
41,South Dakota,14795
42,Tennessee,41231
43,Texas,200474
44,Utah,35016
45,Vermont,18272
46,Virginia,108589
47,Washington,122540
48,West Virginia,20921
49,Wisconsin,88054
50,Wyoming,10106
51,Puerto Rico,27693
