,state,2013
0,Alabama,1713067
1,Alaska,238572
2,Arizona,2100376
3,Arkansas,1020341
4,California,12260080
5,Colorado,1923952
6,Connecticut,1353252
7,Delaware,340270
8,District of Columbia,106657
9,Florida,6652563
10,Georgia,3415734
11,Hawaii,454338
12,Idaho,549285
13,Illinois,4397667
14,Indiana,2469923
15,Iowa,1251333
16,Kansas,1144913
17,Kentucky,1545003
18,Louisiana,1639250
19,Maine,487205
20,Maryland,2180872
21,Massachusetts,2388532
22,Michigan,3521696
23,Minnesota,2174125
24,Mississippi,992657
25,Missouri,2265099
26,Montana,357127
27,Nebraska,777728
28,Nevada,977046
29,New Hampshire,550292
30,New Jersey,3000397
31,New Mexico,685234
32,New York,4766202
33,North Carolina,3527267
34,North Dakota,306169
35,Ohio,4383642
36,Oklahoma,1420270
37,Oregon,1249678
38,Pennsylvania,4507420
39,Rhode Island,405997
40,South Carolina,1712699
41,South Dakota,340605
42,Tennessee,2380225
43,Texas,9571029
44,Utah,993715
45,Vermont,237018
46,Virginia,3112188
47,Washington,2329647
48,West Virginia,602320
49,Wisconsin,2272376
50,Wyoming,224162
51,Puerto Rico,835025
