,state,2014
0,Alabama,171927
1,Alaska,43221
2,Arizona,295724
3,Arkansas,136027
4,California,1813154
5,Colorado,258146
6,Connecticut,142584
7,Delaware,33132
8,District of Columbia,19166
9,Florida,783105
10,Georgia,448491
11,Hawaii,92733
12,Idaho,69747
13,Illinois,482137
14,Indiana,273249
15,Iowa,134837
16,Kansas,131934
17,Kentucky,187060
18,Louisiana,194386
19,Maine,68589
20,Maryland,274626
21,Massachusetts,251628
22,Michigan,389166
23,Minnesota,247813
24,Mississippi,104514
25,Missouri,245614
26,Montana,50849
27,Nebraska,92268
28,Nevada,133593
29,New Hampshire,53572
30,New Jersey,339529
31,New Mexico,83086
32,New York,599205
33,North Carolina,429299
34,North Dakota,32441
35,Ohio,417190
36,Oklahoma,180336
37,Oregon,191874
38,Pennsylvania,505921
39,Rhode Island,37493
40,South Carolina,196921
41,South Dakota,39907
42,Tennessee,264791
43,Texas,1301080
44,Utah,159329
45,Vermont,27727
46,Virginia,378398
47,Washington,335648
48,West Virginia,71268
49,Wisconsin,234322
50,Wyoming,32672
51,Puerto Rico,91968
