,state,2017
0,Alabama,173508
1,Alaska,41554
2,Arizona,339590
3,Arkansas,126414
4,California,1837270
5,Colorado,246847
6,Connecticut,139660
7,Delaware,30680
8,District of Columbia,19495
9,Florida,850429
10,Georgia,472742
11,Hawaii,93324
12,Idaho,78853
13,Illinois,476743
14,Indiana,273274
15,Iowa,127722
16,Kansas,124688
17,Kentucky,182526
18,Louisiana,184808
19,Maine,61644
20,Maryland,278721
21,Massachusetts,255099
22,Michigan,397111
23,Minnesota,237068
24,Mississippi,110724
25,Missouri,242764
26,Montana,45362
27,Nebraska,90480
28,Nevada,137487
29,New Hampshire,59118
30,New Jersey,349334
31,New Mexico,92079
32,New York,589896
33,North Carolina,423062
34,North Dakota,33135
35,Ohio,419640
36,Oklahoma,171438
37,Oregon,189746
38,Pennsylvania,515172
39,Rhode Island,49305
40,South Carolina,214454
41,South Dakota,34059
42,Tennessee,270357
43,Texas,1285104
44,Utah,159591
45,Vermont,29243
46,Virginia,363154
47,Washington,362924
48,West Virginia,64022
49,Wisconsin,224352
50,Wyoming,28481
51,Puerto Rico,73790
