,state,2012
0,California,441486
1,Colorado,85695
2,Connecticut,51475
3,Delaware,9550
4,District of Columbia,38795
5,Florida,127838
6,Georgia,71148
7,Hawaii,31804
8,Idaho,20109
9,Illinois,186595
10,Indiana,64333
11,Iowa,55697
12,Kansas,30985
13,Kentucky,42463
14,Louisiana,36437
15,Maine,27462
16,Maryland,71970
17,Massachusetts,161358
18,Michigan,91536
19,Minnesota,76853
20,Mississippi,20079
21,Missouri,52783
22,Montana,22947
23,Nebraska,26578
24,Nevada,27904
25,New Hampshire,21007
26,New Jersey,125193
27,New Mexico,19615
28,New York,568540
29,North Carolina,82256
30,North Dakota,14373
31,Ohio,123591
32,Oklahoma,34486
33,Oregon,77731
34,Pennsylvania,223141
35,Rhode Island,18339
36,South Carolina,43028
37,South Dakota,16612
38,Tennessee,36184
39,Texas,187514
40,Utah,33288
41,Vermont,19430
42,Virginia,87938
43,Washington,113798
44,West Virginia,23331
45,Wisconsin,91652
46,Wyoming,9280
47,Puerto Rico,32842
48,Alabama,23578
49,Alaska,26338
50,Arizona,54884
51,Arkansas,20051
