,state,2010
0,California,820349
1,Alabama,7964
2,Alaska,4034
3,Arizona,46829
4,Arkansas,6058
5,Colorado,71917
6,Connecticut,76791
7,Delaware,12113
8,District of Columbia,113648
9,Florida,161012
10,Georgia,93624
11,Hawaii,43534
12,Idaho,5410
13,Illinois,494684
14,Kentucky,19654
15,Indiana,27693
16,Iowa,16649
17,Kansas,7098
18,Louisiana,27806
19,Maine,3067
20,Maryland,245628
21,Massachusetts,285330
22,Michigan,51549
23,Minnesota,92083
24,Mississippi,5079
25,Missouri,42305
26,Montana,3856
27,Nebraska,5299
28,Nevada,38895
29,New Hampshire,6098
30,New Jersey,439572
31,New Mexico,9950
32,New York,2328724
33,North Carolina,43004
34,North Dakota,2471
35,Ohio,84738
36,Oklahoma,8687
37,Oregon,70285
38,Pennsylvania,310436
39,Rhode Island,13406
40,South Carolina,9729
41,South Dakota,2124
42,Tennessee,18928
43,Texas,168791
44,Utah,25757
45,Vermont,4172
46,Virginia,168554
47,Washington,167329
48,West Virginia,5179
49,Wisconsin,46031
50,Wyoming,4738
51,Puerto Rico,27248
