,state,2013
0,Alabama,20809
1,Alaska,19215
2,Arizona,77716
3,Arkansas,18200
4,California,434841
5,Colorado,63408
6,Connecticut,20050
7,Delaware,4958
8,District of Columbia,19396
9,Florida,186694
10,Georgia,71180
11,Hawaii,28488
12,Idaho,16322
13,Illinois,92761
14,Indiana,49407
15,Iowa,24228
16,Kansas,20746
17,Kentucky,21580
18,Louisiana,45787
19,Maine,10257
20,Maryland,36016
21,Massachusetts,55351
22,Michigan,55932
23,Minnesota,45713
24,Mississippi,20290
25,Missouri,38906
26,Montana,13348
27,Nebraska,12328
28,Nevada,23956
29,New Hampshire,7651
30,New Jersey,83204
31,New Mexico,22291
32,New York,178810
33,North Carolina,58554
34,North Dakota,6224
35,Ohio,61236
36,Oklahoma,23022
37,Oregon,61602
38,Pennsylvania,86501
39,Rhode Island,9107
40,South Carolina,32882
41,South Dakota,5774
42,Tennessee,35786
43,Texas,219143
44,Utah,27879
45,Vermont,5164
46,Virginia,70825
47,Washington,69049
48,West Virginia,8589
49,Wisconsin,47619
50,Wyoming,6719
51,Puerto Rico,19169
