,state,2011
0,Alabama,9329
1,Alaska,6474
2,Arizona,52557
3,Arkansas,5271
4,California,827736
5,Colorado,77042
6,Connecticut,80026
7,Delaware,13588
8,District of Columbia,121460
9,Florida,167591
10,Georgia,89369
11,Hawaii,38627
12,Idaho,4638
13,Illinois,523820
14,Indiana,30410
15,Iowa,16498
16,Kansas,5127
17,Kentucky,20909
18,Louisiana,26094
19,Maine,4088
20,Maryland,262605
21,Massachusetts,287628
22,Michigan,58663
23,Minnesota,92526
24,Mississippi,4980
25,Missouri,38478
26,Montana,4126
27,Nebraska,6589
28,Nevada,41407
29,New Hampshire,5015
30,New Jersey,448002
31,New Mexico,9232
32,New York,2373132
33,North Carolina,49068
34,North Dakota,1456
35,Ohio,84582
36,Oklahoma,8434
37,Oregon,72478
38,Pennsylvania,303838
39,Rhode Island,15625
40,South Carolina,12877
41,South Dakota,2902
42,Tennessee,25985
43,Texas,176090
44,Utah,30513
45,Vermont,4376
46,Virginia,174888
47,Washington,174346
48,West Virginia,6663
49,Wisconsin,54403
50,Wyoming,4417
51,Puerto Rico,31256
