,state,2018
0,Maine,665930
1,North Carolina,4858875
2,Georgia,4891031
3,Alaska,355403
4,Alabama,2068020
5,Vermont,324340
6,Nevada,1426768
7,West Virginia,727427
8,Oklahoma,1777259
9,Wisconsin,2956937
10,Puerto Rico,980796
11,Virginia,4221015
12,North Dakota,398691
13,South Carolina,2303417
14,Oregon,1994598
15,Wyoming,284573
16,California,18530052
17,Mississippi,1217480
18,Connecticut,1793019
19,Texas,13337175
20,Maryland,3066434
21,Florida,9608687
22,Massachusetts,3558966
23,District of Columbia,378255
24,Utah,1514189
25,New York,9310791
26,New Jersey,4397527
27,Ohio,5524421
28,Missouri,2890814
29,Pennsylvania,6136003
30,Michigan,4615506
31,Nebraska,986223
32,Idaho,794523
33,New Mexico,875031
34,Hawaii,707479
35,South Dakota,448044
36,Washington,3659614
37,Rhode Island,519921
38,Arizona,3174586
39,Tennessee,3092819
40,Kansas,1434639
41,Colorado,2963212
42,Indiana,3175022
43,Kentucky,1964958
44,Louisiana,1993979
45,Illinois,6191586
46,Iowa,1588720
47,New Hampshire,713985
48,Arkansas,1301150
49,Delaware,452707
50,Minnesota,2922866
51,Montana,514776
