,state,2019
0,Mississippi,110430
1,Missouri,244642
2,Montana,50917
3,Nebraska,89738
4,Nevada,155163
5,New Hampshire,56619
6,New Jersey,348602
7,New Mexico,84938
8,New York,591116
9,North Carolina,431414
10,North Dakota,34424
11,Ohio,447970
12,Oklahoma,169342
13,Oregon,190483
14,Pennsylvania,520230
15,Rhode Island,43901
16,South Carolina,203680
17,South Dakota,40155
18,Tennessee,282723
19,Texas,1330991
20,Vermont,27720
21,Utah,164101
22,Virginia,385944
23,Washington,370579
24,West Virginia,66033
25,Wisconsin,236541
26,Wyoming,32184
27,Puerto Rico,79042
28,Illinois,472274
29,Georgia,458996
30,Idaho,77332
31,Hawaii,93065
32,Indiana,306564
33,Iowa,136250
34,Kansas,122587
35,Kentucky,178419
36,Louisiana,177682
37,Maine,63687
38,Maryland,267221
39,Massachusetts,264946
40,Michigan,413874
41,Minnesota,243585
42,Connecticut,135546
43,Florida,901161
44,Alabama,185044
45,Alaska,41975
46,Arizona,348898
47,Arkansas,140667
48,California,1841273
49,Colorado,258425
50,Delaware,39638
51,District of Columbia,21290
