,state,2010
0,California,429786
1,Alabama,25853
2,Alaska,27069
3,Arizona,52391
4,Arkansas,22201
5,Colorado,72320
6,Connecticut,48348
7,Delaware,9044
8,District of Columbia,34895
9,Florida,130004
10,Georgia,60545
11,Hawaii,29641
12,Idaho,21488
13,Illinois,178901
14,Kentucky,31407
15,Indiana,62196
16,Iowa,54328
17,Kansas,35048
18,Louisiana,38366
19,Maine,21874
20,Maryland,64917
21,Massachusetts,147318
22,Michigan,88131
23,Minnesota,74469
24,Mississippi,20115
25,Missouri,55578
26,Montana,23813
27,Nebraska,25432
28,Nevada,21115
29,New Hampshire,18809
30,New Jersey,118235
31,New Mexico,18920
32,New York,542579
33,North Carolina,74542
34,North Dakota,13789
35,Ohio,114502
36,Oklahoma,28961
37,Oregon,65195
38,Pennsylvania,218870
39,Rhode Island,18402
40,South Carolina,36916
41,South Dakota,17697
42,Tennessee,33441
43,Texas,185610
44,Utah,35286
45,Vermont,17349
46,Virginia,103982
47,Washington,105947
48,West Virginia,22536
49,Wisconsin,86733
50,Wyoming,12154
51,Puerto Rico,39070
