,state,2019
0,Mississippi,3037
1,Missouri,33420
2,Montana,4758
3,Nebraska,8159
4,Nevada,44780
5,New Hampshire,6327
6,New Jersey,510746
7,New Mexico,9567
8,New York,2615708
9,North Carolina,55608
10,North Dakota,2870
11,Ohio,83924
12,Oklahoma,7609
13,Oregon,93903
14,Pennsylvania,353582
15,Rhode Island,16475
16,South Carolina,13837
17,South Dakota,1578
18,Tennessee,19604
19,Texas,182144
20,Vermont,5324
21,Utah,39112
22,Virginia,186834
23,Washington,264698
24,West Virginia,5773
25,Wisconsin,50099
26,Wyoming,3251
27,Puerto Rico,12130
28,Illinois,598757
29,Georgia,98285
30,Idaho,6457
31,Hawaii,37672
32,Indiana,29628
33,Iowa,17810
34,Kansas,7225
35,Kentucky,19494
36,Louisiana,23798
37,Maine,4257
38,Maryland,246926
39,Massachusetts,379177
40,Michigan,65264
41,Minnesota,100645
42,Connecticut,81154
43,Florida,156860
44,Alabama,8867
45,Alaska,3373
46,Arizona,55020
47,Arkansas,5291
48,California,970901
49,Colorado,96147
50,Delaware,10923
51,District of Columbia,131786
