,state,2012
0,California,851099
1,Colorado,81980
2,Connecticut,82482
3,Delaware,10725
4,District of Columbia,125890
5,Florida,177143
6,Georgia,82974
7,Hawaii,45177
8,Idaho,5925
9,Illinois,506351
10,Indiana,33311
11,Iowa,16630
12,Kansas,7884
13,Kentucky,18673
14,Louisiana,24516
15,Maine,3597
16,Maryland,258280
17,Massachusetts,309147
18,Michigan,54893
19,Minnesota,89609
20,Mississippi,5266
21,Missouri,35244
22,Montana,4520
23,Nebraska,6142
24,Nevada,44047
25,New Hampshire,4522
26,New Jersey,435665
27,New Mexico,9839
28,New York,2429897
29,North Carolina,48895
30,North Dakota,1430
31,Ohio,80916
32,Oklahoma,7298
33,Oregon,70405
34,Pennsylvania,314681
35,Rhode Island,15401
36,South Carolina,10356
37,South Dakota,2033
38,Tennessee,20847
39,Texas,189285
40,Utah,32473
41,Vermont,3781
42,Virginia,174525
43,Washington,185379
44,West Virginia,5356
45,Wisconsin,50384
46,Wyoming,4379
47,Puerto Rico,27214
48,Alabama,8096
49,Alaska,5746
50,Arizona,54614
51,Arkansas,5748
