,state,2016
0,Florida,835441
1,Georgia,451251
2,Hawaii,96541
3,Idaho,72056
4,Illinois,471442
5,Indiana,264930
6,Iowa,129304
7,Kansas,125893
8,Kentucky,178334
9,Louisiana,185059
10,Maine,57703
11,Maryland,273968
12,Massachusetts,267156
13,Michigan,398251
14,Minnesota,246345
15,Mississippi,119367
16,Missouri,248079
17,Montana,45455
18,Nebraska,87568
19,Nevada,137953
20,New Hampshire,60483
21,New Jersey,364623
22,New Mexico,82912
23,New York,606605
24,North Carolina,423351
25,North Dakota,40390
26,Ohio,406914
27,Oklahoma,164119
28,Oregon,184632
29,Pennsylvania,499808
30,Rhode Island,42641
31,South Carolina,206196
32,South Dakota,38219
33,Tennessee,255862
34,Texas,1289249
35,Utah,157393
36,Vermont,25358
37,Virginia,393221
38,Washington,341795
39,West Virginia,67100
40,Wisconsin,239740
41,Wyoming,25590
42,Puerto Rico,86836
43,Alabama,165046
44,Alaska,44258
45,Arizona,328645
46,Arkansas,128593
47,California,1846542
48,Colorado,251828
49,Connecticut,146214
50,Delaware,39457
51,District of Columbia,18358
