,state,2010
0,California,11650145
1,Alabama,1648706
2,Alaska,230116
3,Arizona,2005289
4,Arkansas,1005284
5,Colorado,1832425
6,Connecticut,1360587
7,Delaware,324776
8,District of Columbia,103239
9,Florida,6286833
10,Georgia,3267029
11,Hawaii,437687
12,Idaho,520863
13,Illinois,4273034
14,Kentucky,1482669
15,Indiana,2385577
16,Iowa,1200762
17,Kansas,1116031
18,Louisiana,1578167
19,Maine,504971
20,Maryland,2079711
21,Massachusetts,2294910
22,Michigan,3370583
23,Minnesota,2072089
24,Mississippi,974939
25,Missouri,2212453
26,Montana,347835
27,Nebraska,749921
28,Nevada,926694
29,New Hampshire,544574
30,New Jersey,2932983
31,New Mexico,684583
32,New York,4741315
33,North Carolina,3372823
34,North Dakota,287946
35,Ohio,4249698
36,Oklahoma,1339912
37,Oregon,1201995
38,Pennsylvania,4407079
39,Rhode Island,385519
40,South Carolina,1614604
41,South Dakota,315608
42,Tennessee,2238380
43,Texas,8895756
44,Utah,938550
45,Vermont,235473
46,Virginia,2966482
47,Washington,2225031
48,West Virginia,603452
49,Wisconsin,2220560
50,Wyoming,211869
51,Puerto Rico,852851
